epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
70,35492.5,0.9385,0.45072,0.99656,0.89965,0.77884,0.85602,0.60269,1.09519,0.64819,1.13626,0.0220988,0.00736625,0.0220988,0.00736625,0.0220988,0.00736625,0.0220988,0.00736625
71,35998.6,0.93439,0.44752,0.99973,0.89704,0.78126,0.8564,0.60295,1.09508,0.64755,1.13701,0.0218918,0.00729725,0.0218918,0.00729725,0.0218918,0.00729725,0.0218918,0.00729725
72,36497.6,0.9345,0.44823,0.99675,0.89748,0.78144,0.85687,0.60325,1.09538,0.64636,1.13773,0.0216831,0.0072277,0.0216831,0.0072277,0.0216831,0.0072277,0.0216831,0.0072277
73,36991.3,0.93467,0.44659,0.9993,0.89655,0.78189,0.85693,0.60353,1.09554,0.6452,1.13819,0.0214728,0.00715761,0.0214728,0.00715761,0.0214728,0.00715761,0.0214728,0.00715761
74,37485.1,0.92956,0.44448,0.99378,0.89562,0.78316,0.8571,0.60348,1.09575,0.64454,1.13844,0.021261,0.007087,0.021261,0.007087,0.021261,0.007087,0.021261,0.007087
75,37979,0.92837,0.44359,0.98925,0.89471,0.78438,0.85749,0.60388,1.09571,0.64425,1.13815,0.0210476,0.00701588,0.0210476,0.00701588,0.0210476,0.00701588,0.0210476,0.00701588
76,38476.4,0.92319,0.4423,0.98915,0.89418,0.78432,0.85762,0.6042,1.09545,0.64473,1.13758,0.0208328,0.00694428,0.0208328,0.00694428,0.0208328,0.00694428,0.0208328,0.00694428
77,38984.7,0.92299,0.4413,0.98593,0.89509,0.78339,0.85771,0.60412,1.09493,0.64443,1.13722,0.0206166,0.00687222,0.0206166,0.00687222,0.0206166,0.00687222,0.0206166,0.00687222
78,39504.6,0.92166,0.43931,0.98575,0.89625,0.78343,0.8578,0.60445,1.09492,0.64333,1.13656,0.0203991,0.0067997,0.0203991,0.0067997,0.0203991,0.0067997,0.0203991,0.0067997
79,40005.3,0.91512,0.43565,0.98343,0.89556,0.78394,0.85784,0.60463,1.09526,0.64358,1.13667,0.0201803,0.00672675,0.0201803,0.00672675,0.0201803,0.00672675,0.0201803,0.00672675
80,40506,0.91642,0.43796,0.98942,0.89458,0.78439,0.85766,0.60478,1.09465,0.64143,1.13743,0.0199602,0.00665339,0.0199602,0.00665339,0.0199602,0.00665339,0.0199602,0.00665339
81,41014.5,0.91287,0.43553,0.98566,0.89572,0.78402,0.85781,0.60504,1.09437,0.64093,1.13712,0.0197389,0.00657963,0.0197389,0.00657963,0.0197389,0.00657963,0.0197389,0.00657963
82,41517.3,0.91167,0.43296,0.9809,0.89497,0.78504,0.85821,0.60528,1.09403,0.64161,1.13668,0.0195165,0.0065055,0.0195165,0.0065055,0.0195165,0.0065055,0.0195165,0.0065055
83,42016.3,0.90819,0.43255,0.9786,0.89484,0.78479,0.8584,0.60536,1.09454,0.64025,1.13663,0.019293,0.00643101,0.019293,0.00643101,0.019293,0.00643101,0.019293,0.00643101
84,42518.1,0.90263,0.43038,0.98309,0.89436,0.78536,0.85842,0.60579,1.09473,0.63881,1.1373,0.0190685,0.00635617,0.0190685,0.00635617,0.0190685,0.00635617,0.0190685,0.00635617
85,43013.5,0.90294,0.43112,0.98298,0.89471,0.78549,0.85878,0.60597,1.09504,0.63808,1.13817,0.018843,0.00628101,0.018843,0.00628101,0.018843,0.00628101,0.018843,0.00628101
86,43671.9,0.903,0.42927,0.98212,0.89427,0.78688,0.85909,0.60619,1.09544,0.63808,1.13892,0.0186167,0.00620555,0.0186167,0.00620555,0.0186167,0.00620555,0.0186167,0.00620555
87,44167.3,0.89875,0.42672,0.97764,0.8954,0.78579,0.85922,0.60625,1.0956,0.63784,1.13893,0.0183894,0.00612981,0.0183894,0.00612981,0.0183894,0.00612981,0.0183894,0.00612981
88,44666.5,0.89655,0.42567,0.97549,0.89497,0.78667,0.85931,0.60648,1.09576,0.63673,1.13886,0.0181614,0.0060538,0.0181614,0.0060538,0.0181614,0.0060538,0.0181614,0.0060538
89,45173.6,0.89482,0.42547,0.97309,0.89526,0.78638,0.85941,0.60659,1.09577,0.63598,1.13886,0.0179326,0.00597754,0.0179326,0.00597754,0.0179326,0.00597754,0.0179326,0.00597754
90,45680.4,0.8884,0.42234,0.97569,0.89517,0.78755,0.85967,0.60679,1.09627,0.63579,1.13966,0.0177031,0.00590105,0.0177031,0.00590105,0.0177031,0.00590105,0.0177031,0.00590105
91,46192.5,0.88595,0.41973,0.97724,0.89711,0.78628,0.85985,0.60707,1.09695,0.6368,1.14069,0.0174731,0.00582435,0.0174731,0.00582435,0.0174731,0.00582435,0.0174731,0.00582435
92,46694.5,0.88456,0.41988,0.9732,0.89731,0.78592,0.85982,0.6071,1.09674,0.6361,1.14134,0.0172424,0.00574746,0.0172424,0.00574746,0.0172424,0.00574746,0.0172424,0.00574746
93,47194.1,0.87994,0.41619,0.968,0.89697,0.78643,0.8601,0.60714,1.09701,0.63555,1.14163,0.0170112,0.0056704,0.0170112,0.0056704,0.0170112,0.0056704,0.0170112,0.0056704
94,47695.4,0.88312,0.41785,0.96737,0.89677,0.78728,0.86014,0.60731,1.09793,0.63529,1.14245,0.0167796,0.00559318,0.0167796,0.00559318,0.0167796,0.00559318,0.0167796,0.00559318
95,48199.5,0.87539,0.41475,0.97331,0.89587,0.78778,0.8602,0.6078,1.09802,0.635,1.14376,0.0165475,0.00551584,0.0165475,0.00551584,0.0165475,0.00551584,0.0165475,0.00551584
96,48696.9,0.87044,0.41393,0.96822,0.89711,0.78581,0.86017,0.60797,1.09778,0.63493,1.14414,0.0163151,0.00543837,0.0163151,0.00543837,0.0163151,0.00543837,0.0163151,0.00543837
97,49200.4,0.87164,0.41139,0.96447,0.89391,0.78883,0.86035,0.60815,1.09786,0.63477,1.14431,0.0160824,0.00536081,0.0160824,0.00536081,0.0160824,0.00536081,0.0160824,0.00536081
98,49704.9,0.87119,0.41242,0.96043,0.89423,0.78893,0.86057,0.60815,1.09791,0.63509,1.14458,0.0158495,0.00528318,0.0158495,0.00528318,0.0158495,0.00528318,0.0158495,0.00528318
99,50205.5,0.86402,0.40802,0.95526,0.89406,0.78918,0.86071,0.6083,1.09789,0.63394,1.14396,0.0156164,0.00520548,0.0156164,0.00520548,0.0156164,0.00520548,0.0156164,0.00520548
100,50703.7,0.86186,0.40586,0.95979,0.89695,0.78726,0.86068,0.60852,1.09798,0.6326,1.14441,0.0153833,0.00512775,0.0153833,0.00512775,0.0153833,0.00512775,0.0153833,0.00512775
101,51196.7,0.8598,0.40781,0.96044,0.89365,0.78985,0.86085,0.60871,1.0981,0.6305,1.14471,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
102,51706.2,0.85633,0.40567,0.9593,0.8933,0.78973,0.86108,0.60891,1.09817,0.62976,1.14492,0.0149167,0.00497225,0.0149167,0.00497225,0.0149167,0.00497225,0.0149167,0.00497225
103,52210.8,0.85484,0.4042,0.95662,0.89398,0.78968,0.86143,0.60941,1.09778,0.62856,1.14483,0.0146836,0.00489452,0.0146836,0.00489452,0.0146836,0.00489452,0.0146836,0.00489452
104,52708.7,0.8537,0.4041,0.95917,0.89332,0.78963,0.86109,0.60947,1.09739,0.62688,1.14493,0.0144505,0.00481682,0.0144505,0.00481682,0.0144505,0.00481682,0.0144505,0.00481682
105,53210.5,0.8478,0.39928,0.95646,0.89474,0.78873,0.86111,0.60967,1.09743,0.62518,1.14528,0.0142176,0.00473919,0.0142176,0.00473919,0.0142176,0.00473919,0.0142176,0.00473919
106,53713,0.84437,0.39752,0.95097,0.89497,0.78778,0.86114,0.6097,1.09677,0.62488,1.14468,0.0139849,0.00466163,0.0139849,0.00466163,0.0139849,0.00466163,0.0139849,0.00466163
107,54217.8,0.84147,0.39678,0.95306,0.89503,0.78756,0.86092,0.60968,1.09618,0.62403,1.14438,0.0137525,0.00458416,0.0137525,0.00458416,0.0137525,0.00458416,0.0137525,0.00458416
108,54715.8,0.84289,0.39586,0.95423,0.89478,0.78743,0.86081,0.6099,1.09627,0.62378,1.1448,0.0135204,0.00450682,0.0135204,0.00450682,0.0135204,0.00450682,0.0135204,0.00450682
109,55221.4,0.83614,0.39376,0.95376,0.89402,0.78813,0.861,0.61,1.0959,0.62274,1.14457,0.0132888,0.0044296,0.0132888,0.0044296,0.0132888,0.0044296,0.0132888,0.0044296
110,55724.7,0.83461,0.39279,0.95126,0.89452,0.78825,0.8613,0.61031,1.09603,0.6227,1.14494,0.0130576,0.00435254,0.0130576,0.00435254,0.0130576,0.00435254,0.0130576,0.00435254
111,56232.9,0.83153,0.39206,0.95179,0.89647,0.78722,0.8611,0.61045,1.09561,0.62209,1.14536,0.0128269,0.00427565,0.0128269,0.00427565,0.0128269,0.00427565,0.0128269,0.00427565
112,56749.3,0.82577,0.38793,0.94788,0.89699,0.78736,0.86137,0.61066,1.09576,0.62139,1.14556,0.0125969,0.00419895,0.0125969,0.00419895,0.0125969,0.00419895,0.0125969,0.00419895
113,57253.3,0.82259,0.38593,0.94271,0.89713,0.7873,0.86137,0.61086,1.09555,0.62053,1.14526,0.0123674,0.00412246,0.0123674,0.00412246,0.0123674,0.00412246,0.0123674,0.00412246
114,57754.3,0.82113,0.38659,0.94901,0.89745,0.78775,0.86148,0.61099,1.09502,0.61929,1.14539,0.0121386,0.0040462,0.0121386,0.0040462,0.0121386,0.0040462,0.0121386,0.0040462
115,58260.6,0.81879,0.38486,0.94326,0.89709,0.78864,0.86186,0.61132,1.09545,0.61868,1.14551,0.0119106,0.00397019,0.0119106,0.00397019,0.0119106,0.00397019,0.0119106,0.00397019
116,58770.1,0.81571,0.38277,0.94254,0.89635,0.78946,0.86194,0.6115,1.09479,0.61851,1.14587,0.0116833,0.00389445,0.0116833,0.00389445,0.0116833,0.00389445,0.0116833,0.00389445
117,59277.9,0.81391,0.38192,0.94319,0.89655,0.78919,0.86201,0.61166,1.09449,0.61831,1.14656,0.011457,0.00381899,0.011457,0.00381899,0.011457,0.00381899,0.011457,0.00381899
118,59785.1,0.80672,0.37914,0.93901,0.8963,0.78944,0.86199,0.61162,1.09463,0.61861,1.14695,0.0112315,0.00374383,0.0112315,0.00374383,0.0112315,0.00374383,0.0112315,0.00374383
119,60288.3,0.8062,0.3778,0.93729,0.89621,0.78924,0.8621,0.61178,1.09455,0.6192,1.14704,0.011007,0.00366899,0.011007,0.00366899,0.011007,0.00366899,0.011007,0.00366899
120,60893.2,0.80147,0.37691,0.93787,0.89716,0.78886,0.86256,0.61215,1.09473,0.61941,1.1478,0.0107835,0.0035945,0.0107835,0.0035945,0.0107835,0.0035945,0.0107835,0.0035945
121,61437.4,0.80234,0.377,0.93755,0.89659,0.78886,0.86244,0.61219,1.09458,0.61955,1.14865,0.0105611,0.00352037,0.0105611,0.00352037,0.0105611,0.00352037,0.0105611,0.00352037
122,61950,0.79894,0.37737,0.94116,0.89612,0.78911,0.86249,0.61249,1.09444,0.61993,1.14946,0.0103398,0.00344661,0.0103398,0.00344661,0.0103398,0.00344661,0.0103398,0.00344661
123,62449,0.79407,0.37435,0.93467,0.89702,0.78914,0.86279,0.61289,1.09462,0.61963,1.15047,0.0101197,0.00337325,0.0101197,0.00337325,0.0101197,0.00337325,0.0101197,0.00337325
124,62944.6,0.78867,0.37053,0.93096,0.89686,0.78876,0.86287,0.61299,1.09506,0.61891,1.15107,0.0099009,0.0033003,0.0099009,0.0033003,0.0099009,0.0033003,0.0099009,0.0033003
